Instrucción,Fecha Resultado
27/12/18 en un par de días gracias,29/12/18
16/10/40 en tres días,19/10/40
28/04/29 por favor el jueves,03/05/29
12/04/30 el martes gracias,16/04/30
05/01/34 pasado mañana por favor,07/01/34
17/12/24 el viernes,20/12/24
26/10/37 el siguiente viernes,30/10/37
19/08/22 este miércoles por favor,24/08/22
07/05/07 este miércoles,09/05/07
12/03/42 por favor pasado mañana,14/03/42
27/09/01 el siguiente jueves,04/10/01
23/05/48 el martes gracias,26/05/48
02/09/04 mañana gracias,03/09/04
25/05/31 el próximo miércoles,28/05/31
12/02/20 el siguiente viernes,14/02/20
29/04/58 el jueves próximo gracias,02/05/58
26/02/06 este miércoles siguiente,01/03/06
21/06/58 el próximo viernes,28/06/58
12/08/03 mañana,13/08/03
13/10/02 por favor en tres días,16/10/02
08/03/22 el lunes siguiente,14/03/22
19/11/17 el lunes por favor,20/11/17
29/10/01 este lunes gracias,05/11/01
28/09/55 el lunes,04/10/55
02/09/13 el jueves próximo gracias,05/09/13
26/05/21 en tres días,29/05/21
29/04/11 el viernes próximo gracias,06/05/11
26/06/42 este viernes siguiente gracias,27/06/42
22/01/60 este viernes,23/01/60
06/04/10 este viernes que viene por favor,09/04/10
06/08/50 este viernes siguiente gracias,12/08/50
22/07/19 este viernes que viene por favor,26/07/19
20/09/41 en un par de días gracias,22/09/41
27/12/22 mañana,28/12/22
03/02/33 por favor en un par de días,05/02/33
20/01/15 el lunes,26/01/15
10/05/54 este jueves,14/05/54
24/06/54 el próximo viernes,26/06/54
11/04/10 pasado mañana,13/04/10
10/09/14 el lunes por favor,15/09/14
27/11/27 en un par de días por favor,29/11/27
12/09/09 el próximo martes,15/09/09
01/12/51 mañana,02/12/51
21/04/02 en un par de días,23/04/02
27/12/27 este viernes,31/12/27
28/08/51 el jueves,31/08/51
07/10/60 por favor en tres días,10/10/60
02/09/33 en tres días por favor,05/09/33
02/08/35 el martes,07/08/35
16/10/17 el próximo martes,17/10/17
26/10/06 por favor en tres días,29/10/06
12/02/53 en un par de días gracias,14/02/53
09/04/56 por favor el lunes próximo,10/04/56
14/10/21 pasado mañana,16/10/21
21/02/09 en tres días gracias,24/02/09
21/01/27 el viernes que viene gracias,22/01/27
12/11/53 este martes próximo,18/11/53
10/11/10 este jueves próximo,11/11/10
09/10/50 el miércoles próximo,12/10/50
07/09/03 el siguiente martes por favor,09/09/03
24/02/31 en tres días por favor,27/02/31
17/10/47 el siguiente jueves,24/10/47
07/06/38 por favor este viernes,11/06/38
07/05/59 el martes gracias,13/05/59
30/03/33 el viernes próximo,01/04/33
09/03/06 el miércoles siguiente,15/03/06
23/05/45 este viernes próximo,26/05/45
03/02/58 en tres días,06/02/58
12/08/30 el miércoles gracias,14/08/30
18/02/01 el jueves,22/02/01
07/09/37 pasado mañana,09/09/37
23/12/43 en un par de días por favor,25/12/43
20/06/09 el siguiente martes gracias,23/06/09
22/11/38 en un par de días,24/11/38
29/06/32 el miércoles próximo,30/06/32
07/01/57 este miércoles,10/01/57
30/03/41 en un par de días,01/04/41
22/09/13 el jueves próximo,26/09/13
26/01/39 en un par de días,28/01/39
20/10/15 pasado mañana,22/10/15
22/10/46 el próximo jueves,25/10/46
10/05/58 en un par de días,12/05/58
25/03/24 este martes,26/03/24
04/04/55 el jueves siguiente,08/04/55
12/04/48 el miércoles siguiente,15/04/48
18/05/43 el siguiente viernes,22/05/43
14/09/41 el próximo jueves,19/09/41
28/01/39 en tres días,31/01/39
25/02/53 este viernes por favor,28/02/53
29/01/24 el próximo jueves,01/02/24
30/11/28 el lunes siguiente por favor,04/12/28
09/01/22 el lunes,10/01/22
10/10/07 este viernes,12/10/07
08/01/25 este lunes que viene por favor,13/01/25
10/06/40 mañana,11/06/40
16/11/21 este miércoles siguiente,17/11/21
09/09/41 este viernes próximo,13/09/41
14/02/51 este martes siguiente por favor,21/02/51
03/10/54 por favor el martes que viene,06/10/54
12/12/59 el próximo viernes,19/12/59
31/12/33 el miércoles gracias,04/01/34
07/03/30 este jueves que viene,14/03/30
29/07/02 en un par de días gracias,31/07/02
06/05/44 el jueves,12/05/44
27/02/29 por favor en tres días,02/03/29
24/04/16 por favor el siguiente viernes,29/04/16
28/09/43 mañana gracias,29/09/43
11/01/19 el lunes siguiente,14/01/19
31/10/31 el próximo jueves por favor,06/11/31
06/03/23 el próximo martes gracias,07/03/23
14/07/30 el lunes que viene,15/07/30
01/02/25 el próximo jueves,06/02/25
25/06/53 el siguiente lunes gracias,30/06/53
13/10/24 el siguiente jueves,17/10/24
11/11/49 el próximo lunes,15/11/49
28/11/00 este miércoles que viene por favor,29/11/00
07/05/46 en un par de días gracias,09/05/46
20/02/17 el siguiente viernes por favor,24/02/17
06/09/07 el jueves que viene,13/09/07
26/08/21 el viernes siguiente,27/08/21
17/06/36 el martes siguiente por favor,24/06/36
31/10/43 por favor en un par de días,02/11/43
22/10/49 en tres días,25/10/49
23/07/21 este jueves próximo,29/07/21
17/09/42 el martes,23/09/42
11/12/57 por favor el siguiente viernes,14/12/57
13/01/44 el próximo lunes,18/01/44
16/03/40 este lunes,19/03/40
19/07/01 este viernes que viene por favor,20/07/01
07/05/08 este jueves siguiente,08/05/08
25/05/26 este martes por favor,26/05/26
18/11/19 el viernes siguiente por favor,22/11/19
12/04/36 por favor el lunes siguiente,14/04/36
29/10/21 este viernes gracias,05/11/21
21/06/27 en tres días,24/06/27
26/07/59 este miércoles por favor,30/07/59
04/03/52 el viernes,08/03/52
08/02/33 en tres días,11/02/33
16/06/42 el jueves que viene,19/06/42
27/08/49 este jueves,02/09/49
19/08/47 este jueves por favor,22/08/47
03/11/30 en un par de días gracias,05/11/30
04/03/38 este martes que viene,09/03/38
18/05/49 pasado mañana,20/05/49
04/09/29 este miércoles gracias,05/09/29
25/07/31 el siguiente viernes,01/08/31
15/09/40 el viernes gracias,21/09/40
21/04/24 este lunes por favor,22/04/24
05/07/27 este viernes,09/07/27
21/07/22 el próximo jueves gracias,28/07/22
06/09/20 en tres días gracias,09/09/20
28/10/10 en tres días,31/10/10
11/04/17 el viernes,14/04/17
22/04/28 el lunes siguiente por favor,24/04/28
22/09/10 el siguiente lunes,27/09/10
28/01/48 el jueves siguiente gracias,30/01/48
10/08/16 mañana,11/08/16
08/03/17 este viernes,10/03/17
31/05/19 el próximo jueves por favor,06/06/19
10/06/43 este miércoles que viene,17/06/43
21/10/24 el próximo jueves gracias,24/10/24
22/11/52 por favor el miércoles próximo,27/11/52
25/01/47 el lunes,28/01/47
16/07/53 en tres días gracias,19/07/53
22/05/25 el próximo viernes,23/05/25
07/01/09 pasado mañana,09/01/09
31/05/17 en tres días por favor,03/06/17
30/07/26 este martes que viene,04/08/26
29/05/20 este martes que viene por favor,02/06/20
17/05/32 el siguiente miércoles,19/05/32
05/02/16 este lunes,08/02/16
12/02/27 el jueves que viene,18/02/27
08/04/01 este lunes próximo,09/04/01
02/12/47 mañana,03/12/47
10/05/11 este martes gracias,17/05/11
10/08/24 por favor el siguiente viernes,16/08/24
31/01/04 el siguiente viernes,06/02/04
21/11/04 este jueves por favor,25/11/04
23/08/49 el siguiente miércoles,25/08/49
17/03/26 el martes siguiente,24/03/26
30/04/11 este jueves,05/05/11
23/03/57 el próximo jueves por favor,29/03/57
15/01/44 en tres días,18/01/44
15/03/09 por favor este miércoles,18/03/09
05/02/01 por favor mañana,06/02/01
02/07/51 el lunes siguiente gracias,03/07/51
05/07/25 el miércoles,09/07/25
10/02/42 este lunes siguiente,17/02/42
12/12/42 en tres días,15/12/42
08/07/39 el próximo miércoles por favor,13/07/39
26/07/30 el viernes que viene,02/08/30
16/07/16 este miércoles próximo,20/07/16
10/08/04 el próximo lunes,16/08/04
26/08/22 el siguiente jueves,01/09/22
10/11/42 el próximo jueves,13/11/42
27/03/10 en un par de días,29/03/10
11/11/05 el martes siguiente,15/11/05
13/12/35 el miércoles,19/12/35
12/02/44 el siguiente martes por favor,16/02/44
24/08/06 el viernes próximo gracias,25/08/06
07/10/51 en tres días por favor,10/10/51
20/06/56 el jueves,22/06/56
22/10/04 en tres días gracias,25/10/04
11/08/13 el martes,13/08/13
20/05/13 el próximo lunes por favor,27/05/13
30/06/50 por favor el próximo jueves,07/07/50
05/04/27 este martes siguiente,06/04/27
23/08/07 mañana,24/08/07
07/04/22 este lunes próximo,11/04/22
17/08/10 por favor este jueves,19/08/10
24/01/50 por favor este martes,25/01/50
03/05/37 el miércoles,06/05/37
24/05/54 el viernes gracias,29/05/54
24/06/53 el siguiente viernes por favor,27/06/53
25/06/55 este lunes que viene,28/06/55
31/03/20 este lunes,06/04/20
18/11/46 el siguiente viernes,23/11/46
15/02/34 pasado mañana,17/02/34
01/06/40 este martes siguiente por favor,05/06/40
20/09/39 este jueves siguiente gracias,22/09/39
04/09/26 el siguiente lunes,07/09/26
18/10/52 en un par de días,20/10/52
21/06/38 el siguiente viernes,25/06/38
25/05/27 el martes,01/06/27
05/01/51 este martes que viene,10/01/51
18/09/55 el siguiente viernes,24/09/55
27/05/05 este viernes,03/06/05
10/09/54 por favor este miércoles próximo,16/09/54
25/11/08 este lunes próximo,01/12/08
22/08/18 por favor este miércoles,29/08/18
12/02/56 el viernes,18/02/56
06/12/18 el viernes próximo,07/12/18
28/09/23 el miércoles,04/10/23
01/04/59 en un par de días,03/04/59
14/04/07 en tres días,17/04/07
02/02/14 en tres días,05/02/14
08/07/21 este martes próximo,13/07/21
05/08/15 en tres días gracias,08/08/15
09/07/49 pasado mañana,11/07/49
25/09/06 en tres días gracias,28/09/06
16/01/14 el siguiente miércoles,22/01/14
28/03/00 el lunes próximo,03/04/00
25/08/36 el lunes por favor,01/09/36
01/06/40 mañana,02/06/40
10/04/53 el viernes siguiente,11/04/53
27/02/42 el próximo jueves,06/03/42
16/02/26 el próximo viernes por favor,20/02/26
05/12/02 el viernes por favor,06/12/02
07/10/20 el lunes gracias,12/10/20
05/11/25 por favor pasado mañana,07/11/25
13/05/25 por favor el jueves,15/05/25
24/09/40 en tres días,27/09/40
21/05/06 este lunes que viene,22/05/06
09/12/20 el siguiente lunes,14/12/20
25/09/23 el jueves que viene,28/09/23
28/01/56 el siguiente lunes,31/01/56
29/11/52 en un par de días por favor,01/12/52
26/04/59 el viernes,02/05/59
30/09/17 por favor este jueves siguiente,05/10/17
20/02/38 el próximo jueves gracias,25/02/38
18/04/10 en tres días gracias,21/04/10
08/11/48 este miércoles que viene,11/11/48
02/03/20 el próximo viernes gracias,06/03/20
06/02/58 el siguiente martes,12/02/58
14/05/13 por favor el próximo lunes,20/05/13
31/10/23 el martes por favor,07/11/23
04/10/12 en tres días gracias,07/10/12
28/05/06 este martes próximo gracias,30/05/06
08/05/05 el jueves gracias,12/05/05
19/11/14 el siguiente lunes,24/11/14
06/08/27 por favor el siguiente lunes,09/08/27
20/05/53 el próximo jueves,22/05/53
24/01/51 por favor este lunes próximo,30/01/51
22/11/25 el siguiente viernes,28/11/25
26/05/39 este jueves,02/06/39
26/02/11 el jueves por favor,03/03/11
18/01/42 el lunes,20/01/42
13/04/27 el miércoles próximo,14/04/27
10/02/36 en un par de días gracias,12/02/36
03/06/24 el martes,04/06/24
24/11/44 el miércoles gracias,30/11/44
11/06/48 por favor el siguiente jueves,18/06/48
19/04/44 pasado mañana,21/04/44
10/04/39 en tres días,13/04/39
20/03/07 el próximo jueves,22/03/07
26/08/53 pasado mañana,28/08/53
30/07/03 este martes gracias,05/08/03
04/10/38 este viernes,08/10/38
30/11/28 por favor el próximo viernes,01/12/28
28/02/54 el próximo jueves gracias,05/03/54
18/06/22 el siguiente martes por favor,21/06/22
27/04/02 el lunes gracias,29/04/02
11/03/08 el próximo miércoles,12/03/08
15/07/20 este jueves,16/07/20
29/06/60 el lunes siguiente gracias,05/07/60
09/08/51 el jueves siguiente por favor,10/08/51
02/09/52 este jueves,05/09/52
10/11/01 por favor este lunes siguiente,12/11/01
24/04/60 este miércoles próximo gracias,28/04/60
06/03/24 el siguiente lunes gracias,11/03/24
12/09/51 pasado mañana,14/09/51
11/08/03 este viernes,15/08/03
19/09/15 este jueves,24/09/15
18/03/42 pasado mañana por favor,20/03/42
23/07/46 el siguiente jueves,26/07/46
13/06/58 en tres días gracias,16/06/58
03/09/39 el lunes próximo,05/09/39
14/12/24 el próximo jueves,19/12/24
13/04/16 el siguiente martes,19/04/16
06/07/52 por favor el próximo jueves,11/07/52
08/02/39 mañana por favor,09/02/39
12/12/56 el próximo lunes por favor,18/12/56
11/02/44 el martes próximo,16/02/44
08/03/08 el viernes siguiente por favor,14/03/08
02/03/42 el martes,04/03/42
20/03/31 el siguiente lunes,24/03/31
19/08/36 en un par de días gracias,21/08/36
25/11/29 este martes siguiente por favor,27/11/29
20/10/28 este jueves,26/10/28
13/02/60 el miércoles,18/02/60
20/05/09 en tres días gracias,23/05/09
05/06/14 el lunes,09/06/14
03/08/29 en un par de días,05/08/29
05/12/36 el siguiente jueves gracias,11/12/36
13/06/44 el próximo jueves,16/06/44
09/11/25 en tres días,12/11/25
11/06/59 este lunes,16/06/59
05/12/35 por favor este jueves que viene,06/12/35
08/05/49 pasado mañana por favor,10/05/49
17/04/03 mañana,18/04/03
20/10/40 mañana,21/10/40
25/11/07 el siguiente viernes por favor,30/11/07
20/03/28 el próximo viernes,24/03/28
23/08/22 por favor el martes,30/08/22
01/01/29 el martes siguiente gracias,02/01/29
26/05/10 en un par de días gracias,28/05/10
05/04/36 en tres días por favor,08/04/36
02/03/46 por favor el próximo lunes,05/03/46
07/02/00 el jueves,10/02/00
01/01/59 este miércoles siguiente,08/01/59
04/09/48 en tres días gracias,07/09/48
12/06/41 el viernes,14/06/41
27/01/37 en un par de días,29/01/37
11/11/04 el lunes,15/11/04
29/10/16 por favor en tres días,01/11/16
06/07/46 el miércoles que viene,11/07/46
15/06/32 el siguiente miércoles por favor,16/06/32
10/11/55 el viernes siguiente,12/11/55
20/09/44 este jueves que viene,22/09/44
09/02/56 el viernes próximo por favor,11/02/56
28/08/39 el siguiente lunes gracias,29/08/39
18/08/04 mañana,19/08/04
06/04/18 pasado mañana por favor,08/04/18
16/12/23 el martes siguiente por favor,19/12/23
09/04/49 este miércoles por favor,14/04/49
03/10/11 el miércoles próximo,05/10/11
03/11/25 en tres días gracias,06/11/25
22/04/39 el lunes próximo gracias,25/04/39
27/06/43 por favor el próximo jueves,02/07/43
22/11/10 el próximo jueves,25/11/10
03/08/02 por favor en un par de días,05/08/02
09/07/56 pasado mañana por favor,11/07/56
16/08/54 en un par de días,18/08/54
20/06/21 el jueves próximo,24/06/21
17/03/14 por favor en un par de días,19/03/14
17/11/27 por favor mañana,18/11/27
01/06/49 el próximo lunes por favor,07/06/49
24/03/01 el martes siguiente por favor,27/03/01
18/07/49 el siguiente lunes,19/07/49
08/08/36 el miércoles,13/08/36
12/05/08 por favor el siguiente lunes,19/05/08
27/02/20 en tres días,01/03/20
06/03/10 en tres días,09/03/10
25/05/41 el siguiente lunes,27/05/41
16/07/10 el próximo viernes,23/07/10
09/02/58 en un par de días,11/02/58
24/10/13 este jueves próximo,31/10/13
16/09/44 por favor el siguiente jueves,22/09/44
08/03/26 este jueves,12/03/26
26/08/45 este miércoles siguiente gracias,30/08/45
12/07/24 el siguiente martes gracias,16/07/24
10/04/37 el martes siguiente,14/04/37
15/04/43 el siguiente martes por favor,21/04/43
13/05/42 por favor el jueves próximo,15/05/42
12/11/21 en un par de días,14/11/21
23/12/40 en tres días,26/12/40
15/06/49 el miércoles gracias,16/06/49
22/12/12 el siguiente miércoles,26/12/12
31/05/34 este jueves,01/06/34
05/02/17 este martes por favor,07/02/17
09/10/53 por favor en un par de días,11/10/53
06/08/45 el próximo lunes,07/08/45
31/03/12 este martes próximo,03/04/12
06/04/06 el lunes gracias,10/04/06
13/10/24 el martes,15/10/24
23/03/37 este miércoles gracias,25/03/37
29/06/30 este lunes que viene,01/07/30
20/07/45 el martes siguiente,25/07/45
20/12/23 por favor este lunes,25/12/23
25/03/00 este lunes próximo,27/03/00
17/05/25 este miércoles que viene gracias,21/05/25
14/10/26 en tres días,17/10/26
27/08/52 el martes,03/09/52
10/01/52 el viernes,12/01/52
16/03/59 el jueves,20/03/59
05/12/43 en tres días por favor,08/12/43
01/05/13 pasado mañana gracias,03/05/13
23/01/40 este viernes por favor,27/01/40
26/04/48 pasado mañana,28/04/48
14/06/43 pasado mañana,16/06/43
18/12/30 por favor este lunes próximo,23/12/30
28/10/29 este miércoles,31/10/29
07/07/49 el viernes que viene por favor,09/07/49
02/10/48 por favor este lunes que viene,05/10/48
03/11/33 el siguiente jueves,10/11/33
06/11/40 mañana,07/11/40
13/11/28 pasado mañana gracias,15/11/28
03/12/16 este miércoles que viene,07/12/16
04/06/21 pasado mañana,06/06/21
19/04/51 en tres días por favor,22/04/51
11/05/34 por favor este martes siguiente,16/05/34
14/12/20 el lunes siguiente,21/12/20
07/11/36 el próximo viernes,14/11/36
01/12/03 el próximo viernes,05/12/03
18/07/28 en tres días,21/07/28
07/06/42 el siguiente miércoles,11/06/42
15/03/34 en un par de días,17/03/34
21/08/34 el viernes,25/08/34
17/07/59 por favor este viernes que viene,18/07/59
